R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Branden Lee Hinkle,Sean Gannon,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,190.5,,265,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,,235,,32,0
Forrest Griffin,Elvis Sinosic,3,0,0,6,352.5,1,0,0,0,0,1,0,1,Orthodox,190.5,195.58,205,0,2,0,4,519,1,0,0,1,0,1,0,2,Orthodox,190.5,195.58,205,34,26,0
Renato Sobral,Chael Sonnen,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,185.42,187.96,205,0,1,0,12,639.8,0,1,0,1,0,1,0,3,Orthodox,185.42,190.5,205,28,30,0
Joe Riggs,Chris Lytle,1,0,0,12,638.4,0,0,0,0,0,2,0,2,Orthodox,180.34,172.72,170,1,0,0,3,340.5,0,0,0,0,1,0,0,1,Southpaw,182.88,177.8,185,31,23,0
Jorge Rivera,Dennis Hallman,2,0,0,7,591.6666667,1,0,0,0,0,1,0,1,Orthodox,175.26,182.88,155,2,0,0,7,624.3333333,0,0,0,1,0,0,0,1,Orthodox,185.42,185.42,185,29,33,0
Marcio Cruz,Keigo Kunihara,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,,235,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,193.04,,232,,27,0
David Loiseau,Evan Tanner,1,0,0,21,402.3076923,3,0,0,2,4,3,1,10,Orthodox,182.88,187.96,185,0,2,0,7,466.25,0,0,0,0,2,0,1,3,Orthodox,182.88,193.04,185,34,25,0
Chris Leben,Edwin DeWees,1,0,0,1,215,0,0,0,0,0,0,0,0,Orthodox,185.42,,185,0,2,0,4,497.5,0,0,1,0,1,0,0,2,Southpaw,180.34,187.96,185,23,25,0
Brandon Vera,Fabiano Scherner,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,,257,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,230,33,27,0
Drew Fickett,Josh Koscheck,0,2,0,2,187,0,0,0,0,1,1,0,2,Orthodox,177.8,185.42,170,0,1,0,2,187.5,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,155,27,25,0
Spencer Fisher,Thiago Alves,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,170,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,170.18,177.8,155,22,29,0
Jon Fitch,Brock Larson,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,180.34,180.34,170,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,28,27,0
Jonathan Goulet,Jay Hieron,1,0,0,1,102,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,29,26,0
Chuck Liddell,Jeremy Horn,1,0,0,8,395.4285714,1,0,0,0,1,3,0,4,Orthodox,185.42,187.96,185,0,3,0,24,538,2,0,0,5,5,0,1,11,Orthodox,187.96,193.04,205,29,35,0
Tim Sylvia,Tra Telligman,2,0,0,5,379,0,0,0,0,0,1,0,1,Orthodox,187.96,,233,2,0,0,6,160.6,4,0,0,0,3,0,0,3,Orthodox,203.2,203.2,265,40,29,0
Randy Couture,Mike van Arsdale,0,2,0,4,780.5,0,0,0,1,0,1,0,2,Switch,187.96,,205,1,0,0,37,746.6428571,12,1,0,2,5,1,1,10,Orthodox,185.42,190.5,205,40,42,0
Diego Sanchez,Brian Gassaway,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,,170,0,1,0,1,169,1,0,0,0,1,0,0,1,Southpaw,177.8,182.88,170,33,23,0
Georges St-Pierre,Frank Trigg,1,0,0,5,291.25,2,0,0,0,2,0,0,2,Southpaw,175.26,180.34,170,0,1,0,8,550.25,1,0,0,2,1,0,0,3,Orthodox,180.34,193.04,185,33,24,0
Matt Lindland,Joe Doerksen,0,1,0,5,637,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,185,0,1,0,24,556.0909091,1,1,0,2,3,1,0,8,Southpaw,182.88,187.96,185,27,35,0
Trevor Prangley,Travis Lutter,1,0,0,4,413,0,0,0,0,1,0,0,1,Orthodox,180.34,190.5,185,0,1,0,2,365,0,0,0,0,0,1,0,1,Orthodox,185.42,190.5,185,32,32,0
James Irvin,Terry Martin,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,185,1,0,0,1,115,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,205,24,26,0
Nate Marquardt,Ivan Salaverry,0,2,0,8,476.25,0,0,0,0,1,2,0,3,Orthodox,182.88,,185,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,34,26,0
